DateTime,Name,HV_SwitchingFreq_Rail1,VS_Bulk_HvDc,CS_Shunt_HVDC_R1,HV_OutPwr,VS_Vout_Sense_HVDC,MainsRMSCurrent,MainsRMSVoltage,
20250320 09:54:32,280_380V_10A_9,176,803.2,10,3790,379.3,6,218.5,
20250320 09:54:32,280_380V_10A_9,167,804.4,10,3685.5,369.3,5.8,219,
20250320 09:54:33,280_380V_10A_9,168,802.8,9.99,3693,369.3,5.8,218.5,
20250320 09:54:33,280_380V_10A_9,168,803.5,9.99,3693,369.3,5.8,218.5,
20250320 09:54:34,280_380V_10A_9,167,802.7,9.99,3688,369.2,5.8,218.5,
20250320 09:54:34,280_380V_10A_9,168,803.2,9.99,3693,369.3,5.8,218.5,
20250320 09:54:35,280_380V_10A_9,168,803.4,10,3688,369.2,5.8,218.5,
20250320 09:54:35,280_380V_10A_9,168,802.5,10,3688,369.3,5.8,218.5,
20250320 09:54:36,280_380V_10A_9,168,802.2,9.99,3693,369.3,5.8,219,
20250320 09:54:36,280_380V_10A_9,168,803.4,9.99,3689,369.3,5.8,219,
20250320 09:54:37,280_380V_10A_9,168,803.9,10,3689,369.3,5.8,219,
20250320 09:54:37,280_380V_10A_9,179,803.8,10,3589,359.3,5.6,219,
20250320 09:54:38,280_380V_10A_9,179,802.2,10,3589,359.4,5.6,219,
20250320 09:54:38,280_380V_10A_9,179,802.3,9.99,3593,359.3,5.7,219,
20250320 09:54:39,280_380V_10A_9,179,802.7,9.99,3594,359.4,5.7,219,
20250320 09:54:39,280_380V_10A_9,178,803.7,10,3589,359.3,5.6,219,
20250320 09:54:40,280_380V_10A_9,177,802.8,10,3590,359.4,5.6,219,
20250320 09:54:40,280_380V_10A_9,178,802.5,10,3590,359.3,5.6,219,
20250320 09:54:41,280_380V_10A_9,179,802.9,9.99,3593,359.3,5.7,218.5,
20250320 09:54:41,280_380V_10A_9,178,802.4,9.99,3593,359.3,5.6,218.5,
20250320 09:54:42,280_380V_10A_9,178,803.2,10,3589,359.3,5.6,218.5,
20250320 09:54:42,280_380V_10A_9,202,803.2,9.99,3494,349.4,5.5,218.5,
20250320 09:54:43,280_380V_10A_9,199,802.5,10,3490.5,349.4,5.4,218.5,
20250320 09:54:43,280_380V_10A_9,200,802.2,10,3489.5,349.3,5.5,219,
20250320 09:54:44,280_380V_10A_9,202,803.2,9.99,3494,349.4,5.5,219,
20250320 09:54:45,280_380V_10A_9,200,802.9,10,3490.5,349.4,5.5,219,
20250320 09:54:45,280_380V_10A_9,202,803.4,9.99,3494,349.4,5.5,219,
20250320 09:54:46,280_380V_10A_9,202,803.3,9.99,3494,349.4,5.5,218.5,
20250320 09:54:46,280_380V_10A_9,202,802.1,9.99,3493,349.5,5.5,218.5,
20250320 09:54:47,280_380V_10A_9,200,802.2,10,3491.5,349.4,5.5,218.5,
20250320 09:54:47,280_380V_10A_9,225,804.3,10,3394,339.4,5.3,219,
20250320 09:54:48,280_380V_10A_9,224,802.5,9.99,3395,339.4,5.3,219,
20250320 09:54:48,280_380V_10A_9,223,803.4,9.99,3395,339.4,5.3,218.5,
20250320 09:54:49,280_380V_10A_9,221,803.2,9.99,3394,339.4,5.4,218.5,
20250320 09:54:49,280_380V_10A_9,223,802.4,10,3394,339.4,5.3,218.5,
20250320 09:54:50,280_380V_10A_9,221,801.7,10,3390.5,339.5,5.4,218.5,
20250320 09:54:50,280_380V_10A_9,222,803.4,10,3391.5,339.5,5.3,218.5,
20250320 09:54:50,280_380V_10A_9,222,802.8,10,3391.5,339.5,5.3,219,
20250320 09:54:51,280_380V_10A_9,224,802.8,10,3391.5,339.4,5.3,219,
20250320 09:54:51,280_380V_10A_9,224,802.1,9.99,3394,339.4,5.3,219,
20250320 09:54:52,280_380V_10A_9,221,802.2,9.99,3395,339.4,5.3,219,
20250320 09:54:52,280_380V_10A_9,243,803.8,10,3290.5,329.4,5.2,219,
20250320 09:54:53,280_380V_10A_9,244,803.1,9.99,3294,329.3,5.2,219,
20250320 09:54:53,280_380V_10A_9,244,803,9.99,3294,329.4,5.2,219,
20250320 09:54:54,280_380V_10A_9,244,803.2,9.99,3294,329.4,5.2,219,
20250320 09:54:54,280_380V_10A_9,243,803.5,10,3290.5,329.3,5.2,219,
20250320 09:54:55,280_380V_10A_9,243,802.5,10,3290.5,329.3,5.2,219,
20250320 09:54:55,280_380V_10A_9,243,803.1,9.99,3293,329.4,5.2,219,
20250320 09:54:56,280_380V_10A_9,244,803,9.99,3294,329.4,5.2,218.5,
20250320 09:54:56,280_380V_10A_9,242,802.1,10,3290.5,329.3,5.2,218.5,
20250320 09:54:57,280_380V_10A_9,243,801.8,10,3289.5,329.3,5.2,218.5,
20250320 09:54:57,280_380V_10A_9,263,804,10,3190.5,319.4,5,218.5,
20250320 09:54:58,280_380V_10A_9,261,801.5,10,3194,319.4,5,218.5,
20250320 09:54:58,280_380V_10A_9,261,800.4,9.99,3193,319.4,5,219,
20250320 09:54:59,280_380V_10A_9,261,801.6,9.99,3194,319.4,5.1,219,
20250320 09:54:59,280_380V_10A_9,261,800.3,9.99,3194,319.3,5,219,
20250320 09:55:00,280_380V_10A_9,261,800,10,3194,319.4,5.1,219,
20250320 09:55:00,280_380V_10A_9,261,801.5,10,3189.5,319.3,5,219,
20250320 09:55:01,280_380V_10A_9,261,800.5,10,3194,319.4,5.1,219,
20250320 09:55:01,280_380V_10A_9,261,801.8,10,3190.5,319.4,5,219,
20250320 09:55:02,280_380V_10A_9,262,801.7,9.99,3193,319.3,5,219,
20250320 09:55:02,280_380V_10A_9,258,781.6,9.99,3091.5,309.5,4.8,218.5,
20250320 09:55:03,280_380V_10A_9,254,775.8,10,3095,309.5,4.9,218.5,
20250320 09:55:03,280_380V_10A_9,254,777.1,10,3095,309.5,4.9,218.5,
20250320 09:55:04,280_380V_10A_9,254,777.7,10,3095,309.5,4.9,218.5,
20250320 09:55:05,280_380V_10A_9,254,776.1,10,3095,309.5,4.9,218.5,
20250320 09:55:05,280_380V_10A_9,253,777.3,10,3095,309.5,4.8,218.5,
20250320 09:55:06,280_380V_10A_9,253,776.9,10,3091.5,309.5,4.8,219,
20250320 09:55:06,280_380V_10A_9,253,776.2,10,3095,309.5,4.9,219,
20250320 09:55:07,280_380V_10A_9,254,776.4,10,3095,309.5,4.9,219,
20250320 09:55:07,280_380V_10A_9,261,769.1,9.99,2993,299.6,4.7,219,
20250320 09:55:08,280_380V_10A_9,246,751.9,9.99,2995,299.5,4.7,219,
20250320 09:55:08,280_380V_10A_9,246,752.2,10,2992,299.5,4.7,219,
20250320 09:55:09,280_380V_10A_9,244,751.4,10,2993,299.6,4.7,219,
20250320 09:55:09,280_380V_10A_9,246,751.9,9.99,2996,299.6,4.7,219,
20250320 09:55:10,280_380V_10A_9,246,751.4,10,2993,299.6,4.7,219,
20250320 09:55:11,280_380V_10A_9,245,751.1,10,2993,299.6,4.7,218.5,
20250320 09:55:11,280_380V_10A_9,245,751.4,9.99,2996,299.6,4.7,218.5,
20250320 09:55:12,280_380V_10A_9,246,751.7,9.99,2996,299.5,4.7,218.5,
20250320 09:55:12,280_380V_10A_9,264,752.4,9.99,2892,289.5,4.5,218.5,
20250320 09:55:13,280_380V_10A_9,237,727.3,10,2895,289.6,4.6,218.5,
20250320 09:55:13,280_380V_10A_9,239,727,9.99,2895,289.5,4.5,219,
20250320 09:55:14,280_380V_10A_9,237,726.9,10,2895,289.5,4.6,219,
20250320 09:55:14,280_380V_10A_9,239,726.6,9.99,2896,289.5,4.6,219,
20250320 09:55:15,280_380V_10A_9,238,726.7,10,2892,289.5,4.5,219,
20250320 09:55:16,280_380V_10A_9,239,726.4,9.99,2895,289.5,4.6,219,
20250320 09:55:16,280_380V_10A_9,239,726.4,9.99,2895,289.5,4.6,219,
20250320 09:55:17,280_380V_10A_9,238,726.9,10,2892,289.5,4.5,219,
20250320 09:55:17,280_380V_10A_9,246,719.2,9.99,2793,279.5,4.3,219,
20250320 09:55:18,280_380V_10A_9,232,702.6,9.99,2796,279.6,4.4,219,
20250320 09:55:18,280_380V_10A_9,231,701.7,10,2793,279.5,4.4,218.5,
20250320 09:55:19,280_380V_10A_9,232,703.1,9.99,2795,279.5,4.4,218.5,
20250320 09:55:19,280_380V_10A_9,232,703.3,9.99,2795,279.5,4.4,218.5,
20250320 09:55:20,280_380V_10A_9,231,703,10,2793,279.6,4.4,218.5,
20250320 09:55:20,280_380V_10A_9,233,702,10,2792,279.6,4.4,218.5,
20250320 09:55:21,280_380V_10A_9,233,702.9,9.99,2796,279.5,4.4,219,
20250320 09:55:22,280_380V_10A_9,231,702.2,10,2792,279.5,4.4,219,
20250320 09:55:22,280_380V_10A_9,232,738.8,2.25,483,279.5,0,219.5,
